[2026-02-08 15:51:07] [INFO    ] discord.client: logging in using static token
[2026-02-08 15:51:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-08 15:51:07] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-08 15:51:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1469889687580577865', 'username': 'idontevenknow', 'avatar': None, 'discriminator': '0065', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-08 15:51:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-08 15:51:07] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-08 15:51:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1469889687580577865', 'name': 'idontevenknow', 'icon': None, 'description': 'I ACTAULLY DONT EVEN KNOW', 'type': None, 'bot': {'id': '1469889687580577865', 'username': 'idontevenknow', 'avatar': None, 'discriminator': '0065', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'e520ad33894757859b8e5c3d622febc03502d0cfdba484aa2296a8efc3c7c7b3', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '827558035618529301', 'username': 'ai_hoshineekono_1609', 'avatar': '59784f6528dfd58eb2e7bd8249c01839', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 9142464, 'global_name': 'neekono', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1420045363141672971', 'asset': 'nameplates/woodland_friends/autumn_breeze/', 'label': 'COLLECTIBLES_WOODLAND_FRIENDS_AUTUMN_BREEZE_NP_A11Y', 'palette': 'cobalt'}}, 'display_name_styles': None, 'banner_color': '#8B80C0', 'clan': {'identity_guild_id': '181078474394566657', 'identity_enabled': True, 'tag': 'GTNH', 'badge': '8e228078dc56d4ad8bdccb696d4e90be'}, 'primary_guild': {'identity_guild_id': '181078474394566657', 'identity_enabled': True, 'tag': 'GTNH', 'badge': '8e228078dc56d4ad8bdccb696d4e90be'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-08 15:51:08] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-08 15:51:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-wkdd",{"micros":0.0}]']}}
[2026-02-08 15:51:08] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-08 15:51:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
